Age,Attrition,Department,JobSatisfaction,MonthlyIncome,WorkLifeBalance,YearsAtCompany,AttritionBinary,,,,,,,,
38,No,Research & Development,4,2406,3,10,0,,,,,,,,
50,No,Research & Development,3,18740,2,27,0,,,,,,,,
59,No,Sales,1,7637,2,21,0,,,,,,,,
36,No,Research & Development,3,10096,3,17,0,,,,,,,,
55,No,Research & Development,3,14756,3,5,0,,,,,,,,
36,No,Research & Development,2,6499,3,6,0,,,,,,,,
45,No,Research & Development,1,9724,3,1,0,,,,,,,,
35,No,Research & Development,1,2194,2,3,0,,,,,,,,
36,Yes,Research & Development,3,3388,2,1,1,,,,,,,,
59,No,Sales,3,5473,2,4,0,,,,,,,,
29,No,Research & Development,2,2703,3,5,0,,,,,,,,
31,No,Research & Development,2,2501,3,1,0,,,,,,,,
32,No,Research & Development,2,6220,3,10,0,,,,,,,,
36,No,Research & Development,4,3038,3,1,0,,,,,,,,
31,No,Research & Development,4,4424,3,11,0,,,,,,,,
35,No,Sales,1,4312,3,15,0,,,,,,,,
45,No,Research & Development,1,13245,4,0,0,,,,,,,,
37,No,Research & Development,3,13664,4,5,0,,,,,,,,
46,No,Human Resources,2,5021,3,4,0,,,,,,,,
30,No,Research & Development,4,5126,2,10,0,,,,,,,,
35,No,Research & Development,3,2859,3,6,0,,,,,,,,
55,No,Sales,4,10239,3,1,0,,,,,,,,
38,No,Research & Development,4,5329,3,13,0,,,,,,,,
34,No,Research & Development,2,4325,3,5,0,,,,,,,,
56,No,Research & Development,4,7260,2,6,0,,,,,,,,
23,No,Sales,1,2322,3,0,0,,,,,,,,
51,No,Research & Development,4,2075,3,4,0,,,,,,,,
30,No,Research & Development,4,4152,3,11,0,,,,,,,,
46,Yes,Sales,4,9619,3,9,1,,,,,,,,
40,No,Research & Development,2,13503,2,22,0,,,,,,,,
51,No,Sales,4,5441,1,10,0,,,,,,,,
30,No,Sales,2,5209,2,11,0,,,,,,,,
46,No,Research & Development,1,10673,2,10,0,,,,,,,,
32,No,Sales,3,5010,3,11,0,,,,,,,,
54,No,Research & Development,3,13549,1,4,0,,,,,,,,
24,No,Sales,3,4999,2,3,0,,,,,,,,
28,No,Sales,3,4221,4,5,0,,,,,,,,
58,No,Sales,3,13872,2,37,0,,,,,,,,
44,No,Research & Development,2,2042,4,3,0,,,,,,,,
37,Yes,Human Resources,1,2073,3,3,1,,,,,,,,
32,No,Research & Development,1,2956,3,1,0,,,,,,,,
20,Yes,Research & Development,4,2926,3,1,1,,,,,,,,
34,No,Research & Development,3,4809,3,16,0,,,,,,,,
37,No,Research & Development,4,5163,4,1,0,,,,,,,,
59,No,Human Resources,4,18844,3,3,0,,,,,,,,
50,No,Research & Development,2,18172,2,8,0,,,,,,,,
25,Yes,Sales,3,5744,3,6,1,,,,,,,,
25,No,Research & Development,4,2889,3,2,0,,,,,,,,
22,No,Research & Development,4,2871,3,0,0,,,,,,,,
51,No,Research & Development,1,7484,2,13,0,,,,,,,,
34,Yes,Research & Development,3,6074,3,9,1,,,,,,,,
54,No,Human Resources,4,17328,3,5,0,,,,,,,,
24,No,Research & Development,3,2774,3,5,0,,,,,,,,
34,No,Research & Development,2,4505,3,1,0,,,,,,,,
37,No,Sales,4,7428,3,5,0,,,,,,,,
34,No,Research & Development,1,11631,3,11,0,,,,,,,,
36,No,Sales,4,9738,3,9,0,,,,,,,,
36,No,Research & Development,4,2835,3,1,0,,,,,,,,
43,No,Sales,4,16959,4,25,0,,,,,,,,
30,No,Research & Development,3,2613,2,10,0,,,,,,,,
33,No,Sales,2,6146,4,7,0,,,,,,,,
56,Yes,Research & Development,2,4963,3,5,1,,,,,,,,
51,No,Research & Development,3,19537,3,20,0,,,,,,,,
31,Yes,Sales,3,6172,2,7,1,,,,,,,,
26,No,Research & Development,2,2368,2,5,0,,,,,,,,
58,Yes,Research & Development,4,10312,2,40,1,,,,,,,,
19,Yes,Sales,3,1675,2,0,1,,,,,,,,
22,No,Research & Development,4,2523,3,2,0,,,,,,,,
49,No,Research & Development,1,6567,2,15,0,,,,,,,,
43,No,Research & Development,3,4739,3,3,0,,,,,,,,
50,No,Sales,4,9208,3,2,0,,,,,,,,
31,Yes,Sales,3,4559,3,2,1,,,,,,,,
41,No,Sales,3,8189,3,9,0,,,,,,,,
26,No,Human Resources,3,2942,3,8,0,,,,,,,,
36,No,Research & Development,2,4941,3,3,0,,,,,,,,
51,Yes,Research & Development,4,10650,3,4,1,,,,,,,,
39,No,Sales,3,5902,4,15,0,,,,,,,,
25,No,Sales,3,8639,3,2,0,,,,,,,,
30,No,Human Resources,4,6347,1,11,0,,,,,,,,
32,Yes,Research & Development,1,4200,4,5,1,,,,,,,,
45,No,Research & Development,4,3452,2,6,0,,,,,,,,
38,No,Research & Development,3,4317,3,3,0,,,,,,,,
30,No,Research & Development,3,2632,2,5,0,,,,,,,,
32,No,Sales,4,4668,4,8,0,,,,,,,,
30,No,Research & Development,1,3204,3,3,0,,,,,,,,
30,No,Research & Development,4,2720,3,5,0,,,,,,,,
41,No,Research & Development,1,17181,2,7,0,,,,,,,,
41,No,Research & Development,1,2238,3,5,0,,,,,,,,
19,No,Research & Development,2,1483,3,1,0,,,,,,,,
40,No,Research & Development,2,5605,3,20,0,,,,,,,,
35,No,Sales,2,7295,3,10,0,,,,,,,,
53,No,Sales,3,2306,1,7,0,,,,,,,,
45,No,Research & Development,2,2348,1,17,0,,,,,,,,
32,No,Sales,4,8998,3,9,0,,,,,,,,
29,No,Research & Development,3,4319,3,10,0,,,,,,,,
51,No,Research & Development,3,6132,3,1,0,,,,,,,,
58,No,Research & Development,2,3346,2,1,0,,,,,,,,
40,No,Sales,4,10855,2,12,0,,,,,,,,
34,No,Sales,3,2231,3,4,0,,,,,,,,
22,No,Research & Development,4,2323,3,2,0,,,,,,,,
27,No,Research & Development,2,2024,1,2,0,,,,,,,,
28,No,Research & Development,4,2713,1,5,0,,,,,,,,
57,No,Research & Development,4,9439,1,5,0,,,,,,,,
27,No,Research & Development,3,2566,2,1,0,,,,,,,,
50,No,Research & Development,2,19926,3,5,0,,,,,,,,
41,No,Research & Development,3,2451,3,9,0,,,,,,,,
30,No,Sales,4,9419,3,10,0,,,,,,,,
38,No,Sales,4,8686,4,8,0,,,,,,,,
32,No,Research & Development,3,3038,3,5,0,,,,,,,,
27,No,Research & Development,2,3058,2,5,0,,,,,,,,
19,Yes,Sales,1,2325,4,0,1,,,,,,,,
36,No,Research & Development,2,2088,2,8,0,,,,,,,,
30,No,Research & Development,1,3072,3,12,0,,,,,,,,
45,No,Sales,1,5006,4,5,0,,,,,,,,
56,No,Research & Development,1,4257,3,2,0,,,,,,,,
33,No,Research & Development,4,2500,4,3,0,,,,,,,,
19,Yes,Research & Development,4,1102,2,1,1,,,,,,,,
46,No,Sales,1,10453,3,24,0,,,,,,,,
38,No,Research & Development,4,2288,3,2,0,,,,,,,,
31,No,Research & Development,4,3929,3,4,0,,,,,,,,
34,No,Research & Development,2,2311,3,3,0,,,,,,,,
41,Yes,Sales,2,3140,2,4,1,,,,,,,,
50,No,Research & Development,3,3690,2,3,0,,,,,,,,
53,No,Research & Development,1,4450,3,4,0,,,,,,,,
33,No,Research & Development,2,2756,3,8,0,,,,,,,,
40,No,Research & Development,3,19033,3,20,0,,,,,,,,
55,No,Research & Development,2,18722,3,24,0,,,,,,,,
34,No,Research & Development,3,9547,2,10,0,,,,,,,,
51,No,Research & Development,2,13734,3,7,0,,,,,,,,
52,No,Research & Development,3,19999,3,33,0,,,,,,,,
27,No,Research & Development,2,2279,2,7,0,,,,,,,,
35,Yes,Research & Development,3,5916,3,1,1,,,,,,,,
43,No,Research & Development,4,2089,4,5,0,,,,,,,,
45,No,Research & Development,4,16792,3,20,0,,,,,,,,
37,No,Research & Development,1,3564,2,8,0,,,,,,,,
35,No,Research & Development,2,4425,3,6,0,,,,,,,,
42,No,Research & Development,3,5265,3,5,0,,,,,,,,
38,No,Research & Development,3,6553,3,1,0,,,,,,,,
38,No,Research & Development,4,6261,1,7,0,,,,,,,,
27,No,Research & Development,1,4298,3,2,0,,,,,,,,
49,No,Research & Development,4,6804,3,7,0,,,,,,,,
34,No,Research & Development,3,3815,4,5,0,,,,,,,,
40,No,Research & Development,4,2741,4,7,0,,,,,,,,
38,Yes,Research & Development,1,6673,3,1,1,,,,,,,,
29,Yes,Sales,4,7639,2,10,1,,,,,,,,
22,No,Research & Development,2,2328,2,4,0,,,,,,,,
36,No,Research & Development,4,2153,3,8,0,,,,,,,,
40,No,Research & Development,4,4876,1,3,0,,,,,,,,
46,No,Research & Development,1,9396,3,4,0,,,,,,,,
32,Yes,Sales,4,10400,2,14,1,,,,,,,,
30,No,Research & Development,3,8474,3,11,0,,,,,,,,
27,No,Sales,3,9981,3,7,0,,,,,,,,
51,No,Research & Development,2,12490,1,10,0,,,,,,,,
30,Yes,Research & Development,1,2657,3,5,1,,,,,,,,
41,No,Sales,4,13591,3,1,0,,,,,,,,
30,Yes,Sales,1,6696,2,6,1,,,,,,,,
29,Yes,Research & Development,3,2058,2,6,1,,,,,,,,
45,No,Sales,4,8865,3,19,0,,,,,,,,
54,No,Sales,1,5940,3,6,0,,,,,,,,
36,No,Research & Development,2,5914,4,13,0,,,,,,,,
33,No,Research & Development,2,2622,3,3,0,,,,,,,,
37,No,Research & Development,4,12185,3,10,0,,,,,,,,
38,No,Sales,3,10609,2,16,0,,,,,,,,
31,No,Research & Development,3,4345,3,5,0,,,,,,,,
59,No,Research & Development,4,2177,3,1,0,,,,,,,,
37,No,Sales,4,2793,3,9,0,,,,,,,,
29,No,Sales,4,7918,3,11,0,,,,,,,,
35,No,Sales,3,8789,4,10,0,,,,,,,,
29,Yes,Research & Development,4,2389,2,4,1,,,,,,,,
52,No,Research & Development,4,3212,2,2,0,,,,,,,,
42,No,Research & Development,4,19232,3,22,0,,,,,,,,
59,No,Human Resources,3,2267,2,2,0,,,,,,,,
50,No,Sales,4,19517,2,7,0,,,,,,,,
33,Yes,Research & Development,4,2436,1,5,1,,,,,,,,
43,No,Sales,4,16064,3,17,0,,,,,,,,
33,Yes,Research & Development,1,2707,4,9,1,,,,,,,,
52,No,Sales,3,19068,4,33,0,,,,,,,,
32,No,Sales,2,3931,3,4,0,,,,,,,,
32,Yes,Research & Development,3,3730,1,3,1,,,,,,,,
39,No,Research & Development,3,2232,3,3,0,,,,,,,,
32,No,Sales,4,4465,3,3,0,,,,,,,,
41,No,Research & Development,1,3072,2,1,0,,,,,,,,
40,No,Research & Development,4,3319,3,9,0,,,,,,,,
45,No,Research & Development,4,19202,3,24,0,,,,,,,,
31,No,Research & Development,3,13675,3,2,0,,,,,,,,
33,No,Research & Development,4,2911,2,2,0,,,,,,,,
34,No,Research & Development,1,5957,3,11,0,,,,,,,,
37,No,Research & Development,1,3920,2,3,0,,,,,,,,
45,No,Research & Development,3,6434,3,3,0,,,,,,,,
37,Yes,Research & Development,3,10048,3,1,1,,,,,,,,
39,No,Research & Development,3,10938,3,19,0,,,,,,,,
29,No,Research & Development,4,2340,3,6,0,,,,,,,,
42,No,Research & Development,1,6545,3,3,0,,,,,,,,
29,No,Sales,4,6931,3,3,0,,,,,,,,
25,No,Research & Development,3,4898,3,4,0,,,,,,,,
42,No,Research & Development,1,2593,3,9,0,,,,,,,,
40,No,Research & Development,3,19436,3,21,0,,,,,,,,
51,No,Research & Development,4,2723,2,1,0,,,,,,,,
31,Yes,Research & Development,2,3479,4,5,1,,,,,,,,
32,No,Research & Development,2,2794,1,5,0,,,,,,,,
38,No,Sales,4,5249,3,8,0,,,,,,,,
32,No,Research & Development,1,2176,3,6,0,,,,,,,,
46,No,Sales,2,16872,2,7,0,,,,,,,,
28,Yes,Research & Development,3,3485,1,0,1,,,,,,,,
29,No,Sales,2,6644,3,0,0,,,,,,,,
31,No,Research & Development,4,5582,3,9,0,,,,,,,,
25,No,Research & Development,1,4000,3,6,0,,,,,,,,
45,No,Research & Development,4,13496,3,20,0,,,,,,,,
36,No,Research & Development,4,3210,3,15,0,,,,,,,,
55,No,Research & Development,1,19045,3,36,0,,,,,,,,
47,Yes,Research & Development,2,11849,2,10,1,,,,,,,,
28,No,Research & Development,4,2070,2,5,0,,,,,,,,
37,No,Sales,4,6502,4,5,0,,,,,,,,
21,No,Research & Development,3,3230,4,3,0,,,,,,,,
37,No,Research & Development,4,13603,3,5,0,,,,,,,,
35,No,Research & Development,2,11996,2,7,0,,,,,,,,
38,No,Sales,1,5605,3,8,0,,,,,,,,
26,No,Research & Development,2,6397,1,6,0,,,,,,,,
50,No,Research & Development,2,19144,2,10,0,,,,,,,,
53,No,Research & Development,3,17584,2,5,0,,,,,,,,
42,No,Sales,3,4907,3,20,0,,,,,,,,
29,No,Sales,4,4554,2,10,0,,,,,,,,
55,No,Research & Development,4,5415,3,10,0,,,,,,,,
26,No,Research & Development,1,4741,3,5,0,,,,,,,,
37,No,Research & Development,4,2115,3,17,0,,,,,,,,
44,Yes,Research & Development,3,3161,1,1,1,,,,,,,,
38,No,Research & Development,4,5745,3,2,0,,,,,,,,
26,Yes,Research & Development,2,2373,3,3,1,,,,,,,,
28,No,Research & Development,4,3310,3,5,0,,,,,,,,
49,No,Research & Development,1,18665,3,3,0,,,,,,,,
36,No,Research & Development,2,4485,3,8,0,,,,,,,,
31,No,Sales,2,2789,2,2,0,,,,,,,,
26,Yes,Sales,4,5828,3,8,1,,,,,,,,
37,No,Research & Development,4,2326,2,4,0,,,,,,,,
42,No,Sales,2,13525,4,20,0,,,,,,,,
18,Yes,Research & Development,3,1420,3,0,1,,,,,,,,
35,No,Sales,2,8020,2,11,0,,,,,,,,
36,No,Research & Development,4,3688,3,1,0,,,,,,,,
51,No,Research & Development,2,5482,3,4,0,,,,,,,,
41,No,Sales,2,16015,3,22,0,,,,,,,,
18,No,Sales,3,1200,3,0,0,,,,,,,,
28,No,Research & Development,1,5661,3,8,0,,,,,,,,
31,No,Sales,4,6929,2,8,0,,,,,,,,
39,No,Research & Development,4,9613,2,18,0,,,,,,,,
36,No,Research & Development,2,5674,3,9,0,,,,,,,,
32,No,Sales,3,5484,2,13,0,,,,,,,,
38,No,Research & Development,2,12061,3,10,0,,,,,,,,
58,No,Research & Development,3,5660,3,5,0,,,,,,,,
31,No,Research & Development,4,4821,3,5,0,,,,,,,,
31,No,Human Resources,1,6410,3,2,0,,,,,,,,
45,No,Research & Development,1,5210,3,24,0,,,,,,,,
31,No,Research & Development,4,2695,1,2,0,,,,,,,,
33,No,Research & Development,2,11878,3,10,0,,,,,,,,
39,No,Research & Development,1,17068,3,21,0,,,,,,,,
43,No,Research & Development,4,2455,3,8,0,,,,,,,,
49,No,Research & Development,3,13964,3,7,0,,,,,,,,
52,Yes,Research & Development,2,4941,2,8,1,,,,,,,,
27,No,Research & Development,2,2478,2,4,0,,,,,,,,
32,No,Sales,2,5228,3,13,0,,,,,,,,
27,No,Sales,3,4478,3,5,0,,,,,,,,
31,No,Sales,4,7547,3,7,0,,,,,,,,
32,No,Research & Development,4,5055,2,7,0,,,,,,,,
28,Yes,Research & Development,4,3464,2,3,1,,,,,,,,
30,No,Research & Development,4,5775,3,10,0,,,,,,,,
31,No,Research & Development,3,8943,3,10,0,,,,,,,,
39,No,Research & Development,4,19272,3,21,0,,,,,,,,
39,Yes,Sales,3,5238,2,1,1,,,,,,,,
33,No,Sales,4,4682,2,7,0,,,,,,,,
47,No,Research & Development,3,18300,3,3,0,,,,,,,,
43,No,Research & Development,3,5257,4,9,0,,,,,,,,
27,No,Sales,2,6349,3,5,0,,,,,,,,
54,No,Research & Development,3,4869,2,4,0,,,,,,,,
43,No,Research & Development,1,9985,2,1,0,,,,,,,,
45,No,Research & Development,4,3697,3,10,0,,,,,,,,
40,No,Sales,4,7457,2,4,0,,,,,,,,
29,Yes,Research & Development,1,2119,2,7,1,,,,,,,,
29,No,Research & Development,4,3983,3,3,0,,,,,,,,
30,No,Sales,3,6118,3,10,0,,,,,,,,
27,No,Sales,2,6214,3,8,0,,,,,,,,
37,No,Research & Development,4,6347,2,6,0,,,,,,,,
38,No,Research & Development,4,11510,3,11,0,,,,,,,,
31,No,Research & Development,4,7143,2,11,0,,,,,,,,
29,No,Sales,2,8268,3,7,0,,,,,,,,
35,No,Research & Development,2,8095,3,16,0,,,,,,,,
23,No,Research & Development,4,2904,2,4,0,,,,,,,,
41,No,Research & Development,2,6032,3,5,0,,,,,,,,
47,No,Sales,3,2976,3,0,0,,,,,,,,
42,No,Research & Development,4,15992,3,1,0,,,,,,,,
29,No,Sales,3,4649,2,4,0,,,,,,,,
42,No,Human Resources,3,2696,3,3,0,,,,,,,,
32,No,Research & Development,2,2370,3,8,0,,,,,,,,
48,No,Sales,3,12504,1,0,0,,,,,,,,
37,No,Research & Development,1,5974,3,7,0,,,,,,,,
30,No,Sales,3,4736,4,2,0,,,,,,,,
26,No,Sales,3,5296,3,8,0,,,,,,,,
42,No,Research & Development,4,6781,3,1,0,,,,,,,,
21,Yes,Sales,2,2174,3,3,1,,,,,,,,
36,No,Sales,4,6653,3,1,0,,,,,,,,
36,No,Sales,4,9699,3,13,0,,,,,,,,
57,No,Research & Development,3,6755,3,3,0,,,,,,,,
40,No,Research & Development,3,2213,3,7,0,,,,,,,,
21,No,Sales,4,2610,2,3,0,,,,,,,,
33,Yes,Sales,3,2851,3,1,1,,,,,,,,
37,No,Research & Development,1,3452,3,5,0,,,,,,,,
46,No,Research & Development,3,5258,4,1,0,,,,,,,,
41,Yes,Sales,2,9355,3,8,1,,,,,,,,
50,No,Research & Development,4,10496,3,4,0,,,,,,,,
40,Yes,Sales,3,6380,3,6,1,,,,,,,,
31,No,Research & Development,2,2657,3,2,0,,,,,,,,
21,Yes,Sales,2,2716,3,1,1,,,,,,,,
29,No,Research & Development,4,2201,3,3,0,,,,,,,,
35,No,Research & Development,2,6540,3,1,0,,,,,,,,
27,No,Research & Development,2,3816,3,5,0,,,,,,,,
28,No,Sales,4,5253,3,7,0,,,,,,,,
49,No,Research & Development,3,10965,3,5,0,,,,,,,,
51,No,Sales,4,4936,2,7,0,,,,,,,,
36,No,Research & Development,3,2543,3,2,0,,,,,,,,
34,Yes,Sales,4,5304,2,5,1,,,,,,,,
55,No,Research & Development,4,16659,3,5,0,,,,,,,,
24,No,Sales,3,4260,4,5,0,,,,,,,,
30,No,Sales,2,2476,3,1,0,,,,,,,,
26,Yes,Research & Development,1,3102,3,6,1,,,,,,,,
22,No,Research & Development,2,2244,3,2,0,,,,,,,,
36,No,Sales,3,7596,3,10,0,,,,,,,,
30,Yes,Research & Development,4,2285,3,1,1,,,,,,,,
37,No,Research & Development,1,3034,2,18,0,,,,,,,,
40,No,Sales,2,5715,3,5,0,,,,,,,,
42,No,Research & Development,1,2576,3,5,0,,,,,,,,
37,No,Research & Development,2,4197,2,1,0,,,,,,,,
43,No,Research & Development,2,14336,3,25,0,,,,,,,,
40,No,Research & Development,3,3448,3,1,0,,,,,,,,
54,No,Research & Development,1,19406,2,4,0,,,,,,,,
34,No,Sales,3,6538,3,3,0,,,,,,,,
31,No,Research & Development,1,4306,1,13,0,,,,,,,,
43,No,Research & Development,4,2258,3,3,0,,,,,,,,
43,No,Research & Development,3,4522,3,5,0,,,,,,,,
25,No,Sales,4,4487,3,5,0,,,,,,,,
37,No,Research & Development,3,4449,3,13,0,,,,,,,,
31,No,Research & Development,1,2218,3,4,0,,,,,,,,
39,No,Research & Development,3,19197,3,21,0,,,,,,,,
56,No,Sales,1,13212,2,7,0,,,,,,,,
30,No,Sales,3,6577,3,5,0,,,,,,,,
41,No,Sales,1,8392,3,10,0,,,,,,,,
28,No,Research & Development,1,4558,3,10,0,,,,,,,,
25,Yes,Research & Development,1,4031,3,2,1,,,,,,,,
52,No,Research & Development,3,7969,3,5,0,,,,,,,,
45,No,Research & Development,4,2654,2,2,0,,,,,,,,
52,No,Research & Development,4,16555,1,5,0,,,,,,,,
42,No,Research & Development,3,4556,3,5,0,,,,,,,,
30,No,Research & Development,4,6091,3,5,0,,,,,,,,
60,No,Research & Development,1,19566,1,29,0,,,,,,,,
46,No,Research & Development,3,4810,2,10,0,,,,,,,,
42,No,Research & Development,4,4523,4,6,0,,,,,,,,
24,Yes,Sales,2,3202,3,5,1,,,,,,,,
34,Yes,Sales,3,2351,2,2,1,,,,,,,,
38,No,Research & Development,4,1702,3,1,0,,,,,,,,
40,No,Sales,3,18041,3,20,0,,,,,,,,
26,No,Research & Development,4,2886,1,3,0,,,,,,,,
30,No,Research & Development,4,2097,1,5,0,,,,,,,,
29,No,Research & Development,3,11935,3,10,0,,,,,,,,
29,Yes,Research & Development,2,2546,4,2,1,,,,,,,,
19,Yes,Human Resources,4,2564,4,1,1,,,,,,,,
30,No,Sales,1,8412,3,9,0,,,,,,,,
57,No,Sales,4,14118,2,1,0,,,,,,,,
50,No,Research & Development,3,17046,3,27,0,,,,,,,,
30,No,Research & Development,4,2564,2,11,0,,,,,,,,
60,No,Sales,1,10266,4,18,0,,,,,,,,
47,No,Research & Development,4,5070,3,5,0,,,,,,,,
46,No,Research & Development,3,17861,1,3,0,,,,,,,,
35,No,Research & Development,3,4230,3,5,0,,,,,,,,
54,No,Research & Development,3,3780,3,1,0,,,,,,,,
34,No,Research & Development,3,2768,3,7,0,,,,,,,,
46,No,Sales,4,9071,3,3,0,,,,,,,,
31,No,Research & Development,2,10648,4,13,0,,,,,,,,
33,Yes,Research & Development,3,13610,4,7,1,,,,,,,,
33,Yes,Research & Development,4,3408,3,4,1,,,,,,,,
30,No,Sales,2,2983,3,3,0,,,,,,,,
35,No,Research & Development,3,7632,3,8,0,,,,,,,,
31,Yes,Research & Development,3,9824,3,1,1,,,,,,,,
34,Yes,Human Resources,1,9950,3,3,1,,,,,,,,
42,No,Research & Development,3,2093,3,2,0,,,,,,,,
36,No,Sales,4,9980,2,10,0,,,,,,,,
22,Yes,Research & Development,3,3894,3,2,1,,,,,,,,
48,No,Sales,4,4051,3,9,0,,,,,,,,
55,No,Sales,2,16835,3,10,0,,,,,,,,
41,No,Sales,4,6230,3,14,0,,,,,,,,
35,No,Sales,3,4717,3,11,0,,,,,,,,
40,No,Research & Development,3,13237,3,20,0,,,,,,,,
39,No,Research & Development,3,3755,3,8,0,,,,,,,,
31,No,Sales,4,6582,4,6,0,,,,,,,,
42,No,Research & Development,1,7406,2,10,0,,,,,,,,
45,No,Sales,2,4805,4,8,0,,,,,,,,
26,Yes,Human Resources,3,2741,2,7,1,,,,,,,,
29,No,Research & Development,4,4262,4,3,0,,,,,,,,
33,No,Research & Development,3,16184,3,6,0,,,,,,,,
31,No,Sales,4,11557,2,5,0,,,,,,,,
18,Yes,Sales,2,1878,3,0,1,,,,,,,,
40,No,Sales,1,10932,3,1,0,,,,,,,,
41,No,Research & Development,3,6811,3,8,0,,,,,,,,
26,No,Sales,3,4306,3,0,0,,,,,,,,
35,No,Sales,3,4859,3,5,0,,,,,,,,
34,No,Sales,4,5337,3,10,0,,,,,,,,
26,Yes,Research & Development,4,2340,1,1,1,,,,,,,,
37,No,Research & Development,4,7491,4,6,0,,,,,,,,
46,No,Research & Development,3,10527,2,2,0,,,,,,,,
41,No,Sales,1,16595,3,18,0,,,,,,,,
37,No,Sales,2,8834,3,9,0,,,,,,,,
52,No,Research & Development,1,5577,3,10,0,,,,,,,,
32,Yes,Sales,3,4707,3,4,1,,,,,,,,
24,No,Sales,4,2400,3,2,0,,,,,,,,
38,No,Research & Development,3,9824,3,1,0,,,,,,,,
37,No,Research & Development,2,6447,2,6,0,,,,,,,,
49,No,Research & Development,3,19502,3,31,0,,,,,,,,
24,No,Research & Development,4,2725,3,6,0,,,,,,,,
26,No,Sales,2,6272,4,5,0,,,,,,,,
24,No,Research & Development,2,2127,3,1,0,,,,,,,,
50,No,Human Resources,2,18200,3,32,0,,,,,,,,
25,No,Sales,3,2096,3,7,0,,,,,,,,
